abk,Abkhazian
kik,Kikuyu
kmb,Kimbundu
kin,Kinyarwanda
zza,Kirdki
kir,Kirghiz
zza,Kirmanjki
tlh,Klingon
kom,Komi
kon,Kongo
kok,Konkani
kor,Korean
kos,Kosraean
kpe,Kpelle
kro,Kru languages
kua,Kuanyama
kum,Kumyk
kur,Kurdish
kru,Kurukh
kut,Kutenai
kua,Kwanyama
kir,Kyrgyz
lad,Ladino
lah,Lahnda
lam,Lamba
day,Land Dayak languages
lao,Lao
lat,Latin
lav,Latvian
ast,Leonese
ltz,Letzeburgesch
lez,Lezghian
lim,Limburgan
lim,Limburger
lim,Limburgish
lin,Lingala
lit,Lithuanian
jbo,Lojban
nds,Low German
nds,Low Saxon
dsb,Lower Sorbian
loz,Lozi
lub,Luba-Katanga
lua,Luba-Lulua
lui,Luiseno
smj,Lule Sami
lun,Lunda
luo,Luo (Kenya and Tanzania)
lus,Lushai
ltz,Luxembourgish
rup,Macedo-Romanian
mkd,Macedonian
mad,Madurese
mag,Magahi
mai,Maithili
mak,Makasar
mlg,Malagasy
msa,Malay
mal,Malayalam
div,Maldivian
mlt,Maltese
mnc,Manchu
mdr,Mandar
man,Mandingo
mni,Manipuri
mno,Manobo languages
glv,Manx
mri,Maori
arn,Mapuche
arn,Mapudungun
mar,Marathi
chm,Mari
mah,Marshallese
mwr,Marwari
mas,Masai
myn,Mayan languages
men,Mende
mic,Mi'kmaq
mic,Micmac
min,Minangkabau
mwl,Mirandese
moh,Mohawk
mdf,Moksha
ron,Moldavian
mkh,Mon-Khmer languages
hmn,Mong
lol,Mongo
mon,Mongolian
mot,Montenegrin
mos,Mossi
mul,Multiple languages
mun,Munda languages
nqo,N'Ko
nah,Nahuatl languages
nau,Nauru
nav,Navaho
nav,Navajo
nde,"Ndebele, North"
nbl,"Ndebele, South"
ndo,Ndonga
nap,Neapolitan
new,Nepal Bhasa
nep,Nepali
new,Newari
nia,Nias
nic,Niger-Kordofanian languages
ssa,Nilo-Saharan languages
niu,Niuean
zxx,No linguistic content
nog,Nogai
non,"Norse, Old"
nai,North American Indian languages
nde,North Ndebele
frr,Northern Frisian
sme,Northern Sami
nso,Northern Sotho
nor,Norwegian
nob,Norwegian Bokmål
nno,Norwegian Nynorsk
zxx,Not applicable
nub,Nubian languages
iii,Nuosu
nym,Nyamwezi
nya,Nyanja
nyn,Nyankole
nno,"Nynorsk, Norwegian"
nyo,Nyoro
nzi,Nzima
ile,Occidental
oci,Occitan (post 1500)
pro,"Occitan, Old (to 1500)"
arc,Official Aramaic (700-300 BCE)
xal,Oirat
oji,Ojibwa
chu,Old Bulgarian
chu,Old Church Slavonic
nwc,Old Newari
chu,Old Slavonic
ori,Oriya
orm,Oromo
osa,Osage
oss,Ossetian
oss,Ossetic
oto,Otomian languages
pal,Pahlavi
pau,Palauan
pli,Pali
pam,Pampanga
pag,Pangasinan
pan,Panjabi
pap,Papiamento
paa,Papuan languages
pus,Pashto
nso,Pedi
fas,Persian
peo,"Persian, Old (ca.600-400 B.C.)"
phi,Philippine languages
phn,Phoenician
fil,Pilipino
pon,Pohnpeian
pol,Polish
por,Portuguese
pra,Prakrit languages
pro,"Provençal, Old (to 1500)"
pan,Punjabi
pus,Pushto
que,Quechua
raj,Rajasthani
rap,Rapanui
rar,Rarotongan
roa,Romance languages
ron,Romanian
roh,Romansh
rom,Romany
run,Rundi
rus,Russian
kho,Sakan
sal,Salishan languages
sam,Samaritan Aramaic
smi,Sami languages
smo,Samoan
sad,Sandawe
sag,Sango
san,Sanskrit
sat,Santali
srd,Sardinian
sas,Sasak
nds,"Saxon, Low"
sco,Scots
gla,Scottish Gaelic
sel,Selkup
sem,Semitic languages
nso,Sepedi
srp,Serbian
srr,Serer
shn,Shan
sna,Shona
iii,Sichuan Yi
scn,Sicilian
sid,Sidamo
sgn,Sign Languages
bla,Siksika
snd,Sindhi
sin,Sinhala
sin,Sinhalese
sit,Sino-Tibetan languages
sio,Siouan languages
sms,Skolt Sami
den,Slave (Athapascan)
sla,Slavic languages
slk,Slovak
slv,Slovenian
sog,Sogdian
som,Somali
son,Songhai languages
snk,Soninke
wen,Sorbian languages
nso,"Sotho, Northern"
sot,"Sotho, Southern"
sai,South American Indian languages
nbl,South Ndebele
alt,Southern Altai
sma,Southern Sami
spa,Spanish
srn,Sranan Tongo
zgh,Standard Moroccan Tamazight
suk,Sukuma
sux,Sumerian
sun,Sundanese
sus,Susu
swa,Swahili
ssw,Swati
swe,Swedish
gsw,Swiss German
syr,Syriac
tgl,Tagalog
tah,Tahitian
tai,Tai languages
tgk,Tajik
tmh,Tamashek
tam,Tamil
tat,Tatar
tel,Telugu
ter,Tereno
tet,Tetum
tha,Thai
bod,Tibetan
tig,Tigre
tir,Tigrinya
tem,Timne
tiv,Tiv
tlh,tlhIngan-Hol
tli,Tlingit
tpi,Tok Pisin
tkl,Tokelau
tog,Tonga (Nyasa)
ton,Tonga (Tonga Islands)
tsi,Tsimshian
tso,Tsonga
tsn,Tswana
tum,Tumbuka
tup,Tupi languages
tur,Turkish
ota,"Turkish, Ottoman (1500-1928)"
tuk,Turkmen
tvl,Tuvalu
tyv,Tuvinian
twi,Twi
udm,Udmurt
uga,Ugaritic
uig,Uighur
ukr,Ukrainian
umb,Umbundu
mis,Uncoded languages
und,Undetermined
hsb,Upper Sorbian
urd,Urdu
uig,Uyghur
uzb,Uzbek
vai,Vai
cat,Valencian
ven,Venda
vie,Vietnamese
vol,Volapük
vot,Votic
wak,Wakashan languages
wln,Walloon
war,Waray
was,Washo
cym,Welsh
fry,Western Frisian
him,Western Pahari languages
wal,Wolaitta
wal,Wolaytta
wol,Wolof
xho,Xhosa
sah,Yakut
yao,Yao
yap,Yapese
yid,Yiddish
yor,Yoruba
ypk,Yupik languages
znd,Zande languages
zap,Zapotec
zza,Zaza
zza,Zazaki
zen,Zenaga
zha,Zhuang
zul,Zulu
zun,Zuni
